"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"120","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",368.97,NA,"10/22/03","5/31/17","10/22/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICE VIRGINIA"
"121","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",41114,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"122","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",46987,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"123","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",1150906,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"124","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",205546,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"125","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",434491,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"126","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",223675,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"127","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",46987,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"128","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",46987,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"129","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",47529.16,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"130","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",93974,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"131","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",44051,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"132","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",46987,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"133","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",421.68,NA,"10/27/03","5/31/17","10/27/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"134","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",46987,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"135","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",44051,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"136","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",110126,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"137","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",345929,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"138","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",577.05,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"139","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",24747.96,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"140","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",2,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"141","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",1,NA,"7/15/03","5/31/17","7/15/03","7/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"142","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",419.95,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"143","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",610.93,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"144","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",362.44,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"145","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",151.6,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"146","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",129.01,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"147","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",1,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"148","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",409.5,NA,"7/15/03","5/31/17","7/15/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"149","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",41589.19,NA,"7/15/03","5/31/17","7/15/03","9/30/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","SECURITY GUARD SERVICES, RICHMOND, VA"
"150","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",1,NA,"7/15/03","5/31/17","7/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"151","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",153710.4,NA,"2/19/04","5/31/17","2/19/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"152","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",35789.04,NA,"4/16/04","5/31/17","4/20/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"153","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",258406,NA,"8/15/03","5/31/17","8/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"154","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",437533,NA,"9/15/03","5/31/17","9/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"155","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",71113,NA,"9/15/03","5/31/17","9/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"156","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",19594,NA,"9/15/03","5/31/17","9/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"157","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",-32848,NA,"7/15/03","5/31/17","7/15/03","5/31/17","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"158","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",1162138,NA,"9/15/03","5/31/17","9/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES"
"159","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",484938.6,NA,"7/2/03","5/31/17","7/2/03","9/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES"
"160","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",4201.47,NA,"3/2/04","5/31/17","3/2/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"161","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",1346.63,NA,"2/19/04","5/31/17","10/23/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"162","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",2556.36,NA,"4/22/04","5/31/17","4/22/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"163","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",395.33,NA,"10/22/03","5/31/17","10/22/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"164","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",846733.44,NA,"10/22/03","5/31/17","10/22/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"165","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",395.33,NA,"2/18/04","5/31/17","10/21/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"166","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",448.04,NA,"10/22/03","5/31/17","10/22/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES - VIRGINIA"
"167","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",421.68,NA,"10/21/03","5/31/17","10/21/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"168","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",395.33,NA,"10/8/03","5/31/17","10/8/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"169","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",0,NA,"1/27/04","5/31/17","1/27/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES IN VIRGINIA"
"170","DON HARSTAD CO., INC.","HOUSEKEEPING- GUARD",3240,NA,"11/19/03","5/31/17","11/19/03","11/19/03","DISTRICT OF COLUMBIA","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","MAINTENANCE AGREEMENT FOR BARRIER GATES AND ALL ASSOCIATED EQUIPMENT FROM 12/15/2003 THRU 9/30/2004."
"171","IDENTIX INCORPORATED","OFFICE DEVICES AND ACCESSORIES",3420,NA,"10/16/03","5/31/17","10/16/03","10/17/03","DISTRICT OF COLUMBIA","ALL OTHER MISCELLANEOUS MANUFACTURING","RENEWAL OF MAINTENANCE AGREEMENT FOR THE TENPRINTER FINGERPRINTING EQUIPMENT"
"172","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",72592.87,NA,"4/6/06","5/31/17","9/30/05","5/31/17","OHIO","SECURITY GUARDS AND PATROL SERVICES","WD PRICE ADJUSTMENT SETTLEMENT"
"173","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",89500,NA,"2/23/04","5/31/17","2/23/04","9/26/05","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"174","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",23826.6,NA,"8/27/04","5/31/17","8/27/04","9/26/04","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"175","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",92744.4,NA,"9/20/04","5/31/17","9/20/04","9/30/04","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"176","WEST PUBLISHING CORPORATION","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS",3000,NA,"1/21/05","5/31/17","1/21/05","9/30/05","NEW JERSEY","CREDIT BUREAUS","AUTOTRACK SERVICES"
"177","WEST PUBLISHING CORPORATION","INSTALLATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",2925,NA,"1/14/05","5/31/17","1/14/05","9/30/05","TEXAS","CREDIT BUREAUS","AUTO TRACK SERVICES FOR HOUSTON"
"178","WEST PUBLISHING CORPORATION","SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)",20400,NA,"1/14/05","5/31/17","1/14/05","9/30/05","TEXAS","CREDIT BUREAUS","CREDIT REPORTING SERVICES"
"179","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",474.95,NA,"8/28/08","5/31/17","8/28/08","9/30/10","OHIO","SECURITY GUARDS AND PATROL SERVICES","EGS STATE OF OHIO"
"180","EATON CORPORATION","GENERATORS & GENERATOR SETS ELECT",3175,NA,"3/12/08","3/12/08","3/12/08","9/30/08","MINNESOTA","POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING","RENEWAL OF MAINTENANCE SERVICE CONTRACT ""QUOTE #231071-R 1/2"" FOR THE POWERWARE UPS SYSTEM AT FPS DISTRICT 2, ONE FEDERAL DRIVE, FORT SNELLING, MN 55111. ALL PARTS AND SERVICES SHALL BE PROVIDED FOB DESTINATION.  ALL INVOICES SHALL BE SUBMITTED MONTHLY OR QUARTERLY, IN ARREARS."
"181","COMMUNICATION CONTRACTORS INC","MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",9085,NA,"4/29/08","5/31/17","4/29/08","5/23/08","MINNESOTA","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","PROVIDE, DELIVER AND INSTALL VIDEO SECURITY CAMERAS (TWO), VIDEO MONITOR (ONE), DIGITAL VIDEO RECORDER/DVR (ONE) AND A SWITCH (ONE) AS ADD-ONS TO AN EXISTING SECURITY SYSTEM, AT A FIRM, FIXED PRICE, FOB DESTINATION.  PROVIDE NEW EQUIPMENT, NEW PARTS, INSTALLATION, PROGRAMMING, TESTING, MATERIALS, SUPPLIES, MANUALS AND WARRANTY (1 YEAR PARTS & LABOR, ON SITE, AFTER GOVT. ACCEPTANCE) IN ACCORDANCE WITH THE ATTACHED A) STATEMENT OF WORK AND B) DOL WAGE DETERMINATION AT:  MINNEAPOLIS MEPS, BISHOP HENRY WHIPPLE FEDERAL BUILDING, 1 FEDERAL DRIVE, 3RD FLOOR, FORT SNELLING, MN 55111 (GSA BUILDING # MN0086)."
"182","COMMUNICATION CONTRACTORS INC","MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",7560,NA,"5/9/08","5/31/17","5/9/08","5/23/08","MINNESOTA","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","SECURITY CAMERA PARTS AND LABOR"
"183","COMMUNICATION CONTRACTORS INC","MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",19909,NA,"7/8/08","5/31/17","7/8/08","7/31/08","MINNESOTA","","MATRIX AND DVR CHANGE OUT"
"184","RYAN COMPANIES US INC","FENCING FENCES & GATES",10750.31,NA,"8/26/08","8/26/08","8/26/08","8/31/08","MINNESOTA","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","REINFORCE THE EXISTING PERIMETER CONSTRUCTION FENCE THAT SURROUNDS THE WARREN E BURGER FEDERAL BUILDING & COURTHOUSE, 316 ROBERT STREET, SAINT PAUL, MN 55101 (GSA BLDG MN-0087).  THIS INCLUDES PROVIDING LABOR, SUPERVISION, ACCESSORIES, PARTS AND SUPPLIES, PROVIDED ON-SITE, FOB DESTINATION."
"185","GENERAL SECURITY SERVICES CORPORATION","GUARD SERVICES",20315.85,NA,"11/19/08","1/12/09","11/19/08","3/31/09","ILLINOIS","SECURITY GUARDS AND PATROL SERVICES","SECURITY CLERK SERVICES CHICAGO LOOP"
"186","THERMAL TECHNOLIGIES, INC","MAINT-REP-ALT/OTHER ADMIN BLDGS",1980,NA,"12/12/08","5/31/17","12/12/08","9/30/09","MINNESOTA","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","RENEWAL MAINTENANCE AGREEMENT FOR HVAC SYSTEM AT FORT SNELLING, MN."
"187","WALDORF-NEVENS DRY CLEANERS (INC)","HOUSEKEEPING- LAUNDRY/DRYCLEANING",11000,NA,"1/14/09","5/31/17","1/14/09","9/30/09","MINNESOTA","DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)","DRY CLEANING SERVICE FOR FORT SNELLING"
"188","COMMUNICATION CONTRACTORS INC","MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",10433,NA,"9/18/09","5/31/17","9/18/09","10/9/09","MINNESOTA","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","SUMMARY OF WORK:  PROVIDE, DELIVER AND INSTALL ONE NEW CLOSED CIRCUIT TELEVISION SYSTEM TO PROVIDE SECURITY AT THE US SOCIAL SECURITY ADMINISTRATION, HIGHWAY 15 BUSINESS CENTRE, 3800 8TH STREET NORTH, SUITE #100, SAINT CLOUD, MN 56303, IN ACCORDANCE WITH THE ATTACHED STATEMENT OF WORK (SOW) AT A FIRM, FIXED PRICE, FOB DESTINATION."
"189","IDS INTERNATIONAL, LLC","GUARD SERVICES",0,NA,"9/25/09","9/25/09","9/25/09","11/1/11","INDIANA","SECURITY GUARDS AND PATROL SERVICES","TAS SERVICES FOR THE STATE OF INDIANA"
"190","WEST PUBLISHING CORPORATION","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL",6600,NA,"12/8/08","5/31/17","12/8/08","5/23/09","TEXAS","CREDIT BUREAUS","CHOICEPOINT AUTOTRACK SERVICE FOR FY09 ON-LINE INVESTIGATORY RESOURCE. PERIOD OF SERVICES 10/01/2008 THRU 09/30/2009."
"191","IDENTIX INCORPORATED","MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT",6468,NA,"9/22/05","5/31/17","9/22/05","9/30/06","DISTRICT OF COLUMBIA","CONSUMER ELECTRONICS REPAIR AND MAINTENANCE",""
"192","IDENTIX INCORPORATED","SUPPORT- ADMINISTRATIVE: OTHER",6582,NA,"10/2/06","5/31/17","10/2/06","9/30/07","COLORADO","ALL OTHER MISCELLANEOUS MANUFACTURING","NOT REQUIRED"
"193","CRESCENT PRODUCTS, INC.","ATHLETIC AND SPORTING EQUIPMENT",9682.22,9682.22,"9/16/08","12/20/20","9/16/08","10/16/08","MINNESOTA","","NECESSARY TRAINING EQUIPMENT FOR DEFENSIVE TACTICS TRAINING ROOM."
"194","UNITED OFFICE SOLUTIONS INC","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",9199.6,NA,"4/6/09","5/31/17","4/6/09","4/16/09","NEW JERSEY","CARBON PAPER AND INKED RIBBON MANUFACTURING","MISSION CRITICAL: EQUIPMENT NEEDED FOR THE FUGOPS TEAMS AT THE NEWARK FIELD OFFICE.  DOCK STATIONS REQUIRED FOR THE PANASONIC  CF-30 TOUGHBOOKS."
"195","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",5322.24,5322.24,"5/28/09","5/31/17","5/28/09","6/26/09","OREGON","PERIODICAL PUBLISHERS","FEDERAL IMMIGRATION LAW PAMPHLETS"
"196","FOX RIVER GRAPHICS LLC","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",28639.55,NA,"9/20/09","5/31/17","9/20/09","10/16/09","DISTRICT OF COLUMBIA","OTHER COMPUTER RELATED SERVICES","NINE TELEVISIONS"
"197","DRFC METRO LLC","LEASE-RENT OF PARKING FACILITIES",4914,NA,"11/10/08","5/31/17","11/10/08","11/16/09","MINNESOTA","PARKING LOTS AND GARAGES","LEASED PARKING FOR FUGITIVE OPERATIONS TEAM GOVERNMENT VEHICLES, LOCATED AT METRO OFFICE PARK, 2950 BLDG."
"198","ABRA, INC.","MAINT/REPAIR/REBUILD OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",2998.39,NA,"5/8/09","5/31/17","5/8/09","6/7/09","MINNESOTA","OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION","SPM/DRO FLEET VEHICLE REPAIR - 2008 FORD EXPEDITION XLT 4 DR WAGON - 8CYL GASOLINE 5.4 - 6 SPEED AUTOMATIC - LIC.PLATE UYX 373-FLEET# M83577 - VIN# 1FMFU16528LA15676"
"199","HAROLD CHEVROLET, INC.","MAINT/REPAIR/REBUILD OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS",6260.35,NA,"6/15/09","5/31/17","6/15/09","6/15/09","MINNESOTA","GENERAL AUTOMOTIVE REPAIR","VEHICLE REPAIR"
"200","J & N TACTICAL, LLC","MISCELLANEOUS ITEMS",13540,NA,"7/9/09","5/31/17","7/9/09","8/28/09","DISTRICT OF COLUMBIA","ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)","LAW ENFORCEMENT EQUIPMENT"
"201","UNITED STATES POSTAL SERVICE","LEASE-RENT OF RECREA NON-BLDG STRUC",0,NA,"8/24/09","5/31/17","8/24/09","8/25/09","MINNESOTA","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES","LEASE OF POST OFFICE FIRING RANGE"
"202","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",10513.92,10513.92,"7/19/10","5/31/17","7/19/10","8/19/10","VIRGINIA","PERIODICAL PUBLISHERS","LEGAL PUBLICATIONS"
"203","FOX RIVER GRAPHICS LLC","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",4962,NA,"9/23/10","5/31/17","9/23/10","10/22/10","ILLINOIS","OTHER COMPUTER RELATED SERVICES","HDTVS, WALL MOUNTS"
"204","KREMER SERVICES, LLC","MAINT/REPAIR/REBUILD OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS",19210,NA,"1/21/10","5/31/17","1/21/10","4/2/10","MINNESOTA","GENERAL AUTOMOTIVE REPAIR","REPLACEMENT OF REAR BRAKES 2004 BLUE BIRD BUS"
"205","WECSYS LLC","TABLEWARE",3699.01,NA,"5/20/10","5/31/17","5/20/10","5/28/10","ARIZONA","INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS","PAPER CONE CUPS FOR DETAINEE BEVERAGES MEXICAN INTERIOR REPATRIATION PROGRAM"
"206","SHERBURNE COUNTY SHERIFFS OFFICE","LEASE-RENT OF RECREA NON-BLDG STRUC",7160,NA,"7/22/10","9/17/13","7/23/10","7/22/11","MINNESOTA","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES","RANGE AND CLASSROOM RENTAL FOR QUARTERLY FIREARMS AND DEFENSIVE TACTICS TRAINING."
"207","STPD LLC","VEHICULAR FURNITURE AND ACCESSORIES",5683.79,NA,"9/1/10","5/31/17","9/1/10","10/1/10","MINNESOTA","OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE","2007 FORD EXPEDITION WIRING/INVERTER UPGRADE"
"208","SATELLITE PLUS LLC","INSTALLATION OF EQUIPMENT- MUSICAL INST/PHONOGRAPH/HOME RADIO",7441,NA,"9/22/10","3/7/13","9/22/10","10/21/10","MINNESOTA","OTHER BUILDING EQUIPMENT CONTRACTORS","INSTALLATION OF SATELLITE TV SYSTEM"
"209","W.A. CHARNSTROM CO., INC.","OFFICE FURNITURE",8715.2,8715.2,"9/20/11","3/2/20","9/20/11","10/20/11","TEXAS","OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING","MAIL CENTER ORGANIZER IS NEEDED FOR THE DETENTION AREA AT THE SNA RESIDENT OFFICE TO ELIMINATE THE SAFETY HAZARDS ASSOCIATED W/CURRENT UNSTABLE FURNITURE."
"210","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",5604.42,5604.42,"8/16/11","4/24/20","8/16/11","9/15/11","VIRGINIA","PERIODICAL PUBLISHERS","RENEWAL OF REQD DETENTION STARDARDS LAW BOOKS FOR WAS 6 WAS JAILS. TITLES ARE NOT AVAILABLE ON LEXIS LEXIS CD PROVIDED TO JAILS."
"211","WEST PUBLISHING CORPORATION","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL",58436,NA,"8/31/11","10/6/11","8/31/11","12/31/11","DISTRICT OF COLUMBIA","ALL OTHER INFORMATION SERVICES","ACQUISITION OF CRIMINAL DATA BASE SERVICES"
"212","SHERBURNE COUNTY SHERIFFS OFFICE","LEASE-RENT OF MISC BLDGS",8060,NA,"6/21/11","5/29/13","7/23/11","7/22/12","MINNESOTA","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES","RANGE AND CLASSROOM RENTAL FOR QUARTERLY FIREARMS AND DEFENSIVE TACTICS TRAINING.  PERIOD OF PERFORMANCE: 07/23/2011 - 07/22/2012"
"213","G&K SERVICES, INC.","HOUSEKEEPING- LAUNDRY/DRYCLEANING",9984,NA,"6/23/11","5/31/17","6/23/11","9/28/11","ARIZONA","LINEN SUPPLY","BLANKET DELIVERY AND LAUNDERING SERVICES FOR THE MEXICAN INTERIOR REPATRIATION PROGRAM (MIRP)."
"214","WEST PUBLISHING CORPORATION","NEWSPAPERS AND PERIODICALS",225007,NA,"5/1/12","5/31/17","5/1/12","9/30/12","DISTRICT OF COLUMBIA","ALL OTHER INFORMATION SERVICES","REAL-TIME INCARCERATION-ARREST DATABASE."
"215","SHERBURNE COUNTY SHERIFFS OFFICE","EDUCATION/TRAINING- SECURITY",46140,46140,"7/16/12","3/15/23","7/16/12","7/22/17","MINNESOTA","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES","RANGE AND CLASSROOM RENTAL FOR QUARTERLY FIREARMS AND DEFENSIVE TACTICS TRAINING.  FUNDED PERIOD OF PERFORMANCE: 07/23/2012 - 07/22/2013."
